"_lw_parser_record_number",keys,values,description,_lw_parser_content_type,_lw_parser_id,type,enabled,matching,display_type,search_terms,_lw_parser_parsing_depth,_lw_parser_absolute_resource_name,createdAt,effective_range,ruleName,param_keys,id,updatedAt,_lw_parser_type,_lw_parser_max_parsing_depth,groups,param_values,field_name,_lw_parser_resource_name,_lw_parser_diagnostic_id,param_policies,field_values
0,,,Biz-smartphones-motorola,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,smartphones/motorola/,1,"null\,unknown#0",2019-04-14T06:18:10.440Z,,Biz-smartphones-motorola,,ee9ffde5-8a8d-47ab-8009-4b19a88ba324,2019-08-01T07:20:23.540Z,json,16,rules-global,,id,unknown,8c793ab6-e224-459d-a805-253fa09f01c3,,"moto-z4-in-flash-gray\,moto-z3-in-ceramic-black\,moto-g7-power-in-black"
0,banner,"{ ""payment_options"":[{""id"": "".full-retail-price""\,""payment_option_id"": ""retail""\,""name"": ""Retail Price"" }] }",CONFIG: business-solutions Payment Options,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,business-solutions/,1,"null\,unknown#0",2019-04-17T15:17:54.100Z,,Dev-payment_config,,ef8d017e-86e0-4d2e-a85e-82a5de2e29c0,2019-04-17T15:20:08.930Z,json,16,rules-global,,,unknown,f2d74fae-feca-4a17-aa89-1c3823279491,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,     ""page_title"":""Desk Phones""\, ""default_sort"": ""featured""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\   } }",CONFIG: business-solutions Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,business-solutions/,1,"null\,unknown#0",2019-04-17T15:27:20.080Z,,Dev-page_config,,4e58dd43-586a-4d40-b66b-1157f596a204,2019-04-17T15:27:20.080Z,json,16,rules-global,,,unknown,ca441218-af1e-4e13-8a12-a122fc8fc952,,
0,,,,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,devices/iphonex/,1,"null\,unknown#0",2019-04-19T16:33:23.520Z,,Biz-New rule,,39b9b465-f633-4924-b4a9-1580809ebdb7,2019-04-19T17:07:19.720Z,json,16,rules-global,,id,unknown,4f8b2df2-d496-4f25-9407-443d15561176,,"apple-new-ipad-air-256gb-in-space-gray\,ipad-mini-256gb-in-gold\,ipad-9-7-128gb-in-silver\,apple-watch-series-4-stainless-steel-40mm-case-with-milanese-loop-gold\,apple-watch-series-4-aluminum-40mm-gold-case-with-pink-sand-sport-band\,apple-watch-series-4-stainless-steel-44mm-gold-case-with-stone-sport-band\,apple-ipad-pro-12-9-2018-1tb-in-silver\,apple-ipad-pro-11-64gb-in-silver\,apple-watch-series-4-stainless-steel-gold-44mm-case-with-milanese-loop\,apple-watch-series-4-gold-aluminum-44mm-case-with-pink-sand-sport-band\,apple-ipad-pro-10-5-256gb-in-rose-gold\,apple-watch-series-4-nike-space-grey-aluminum-44mm-case-with-anthracite-sport-band\,apple-watch-series-4-nike-silver-aluminum-40mm-case-with-sport-band\,apple-watch-series-4-space-gray-aluminum-44mm-case-with-black-sport-loop\,apple-watch-series-4-nike-space-gray-aluminum-44mm-case-with-black-sport-loop\,apple-watch-series-4-space-gray-aluminum-40mm-case-with-black-sport-loop\,ipad-mini-4-16gb-gold\,apple-iphone-x-256gb-in-space-gray\,apple-iphone-xr-64gb-in-blue\,apple-iphone-xs-max-512gb-in-space-gray\,apple-iphone-xs-512gb-in-space-gray\,iphone-6s-64gb-rose-gold\,apple-iphone-6s-plus-64gb-in-gold"
0,,,Biz-Custom-GW-Kids,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,filter_list,true,keywords,Filter List,shop/kids/,1,"null\,unknown#0",2019-05-10T14:59:54.370Z,,Biz-CGW-Kids,,5392ffe7-8f34-432e-9063-b39b6b1977c2,2019-05-14T16:36:29.030Z,json,16,rules-global,,id,unknown,a5664a07-a04a-4635-8ba5-3e5042f3cdfb,,"verizon-gizmotablet-in-black\,verizon-gizmowatch-in-pink\,verizon-gizmowatch-mickey-mouse-90th-anniversary-edition-rainbow\,jbl-kids-on-ear-headphones-red\,jbl-kids-bluetooth-on-ear-headphones-blue-orange\,samsung-smartthings-tracker-smv110vzwvb\,gizmo-nylon-band-for-gizmowatch-navy-blue\,gizmo-disney-band-for-gizmowatch-red-black\,gizmowatch-pin-3-in-1-pack-sprinkles-x53spr\,gizmowatch-pin-3-in-1-pack-comic-books-x53cmb\,google-chromecast-ultra-ga3a00403a14\,vzw-kick-stand-cover-with-stylus-for-gizmotab-orange\,nest-cam1\,google-home-mini-charcoal\,tile-mate-bluetooth-tracker-4-pack-tilemate4pk\,samsung-gear-vr-and-controller-galaxy-note-8-edition\,google-daydream-view-vr-headset\,sticker-for-gizmopal-2-12pack\,google-home-hub-chalk\,netgear-arlo-pro-arlopro\,netgear-black-and-green-skin-set-for-arlo-go\,google-home-mini-chalk"
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,     ""page_title"":""Kids Tech""\, ""default_sort"": ""featured""  } }",Dev-page_config,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,shop/kids/,1,"null\,unknown#0",2019-05-10T15:02:08.440Z,,Dev-page_config,,5d63d0a9-220f-4d6a-991c-eaa83f08e6c2,2019-06-10T16:19:37.980Z,json,16,rules-global,,,unknown,38a1e4c4-6086-4572-a634-4d235d03302f,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,	""page_title"":""All Unlocked Devices""\,		""default_sort"": ""featured""\,     ""default_payment_option"": ""monthly""   } }",,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,unlocked-smartphones/,1,"null\,unknown#0",2019-05-28T14:47:31.530Z,,Dev-page_config-unlocked-smartphones/,,173b4e79-c50b-4076-8d8a-395e31b56279,2019-06-12T19:49:04.450Z,json,16,rules-global,,,unknown,312d77dd-2088-4bca-a3e4-1470697283c2,,
0,banner,"{""sort_options"": [{""label"": ""Newest""\, ""property"": [{""sortKey"": ""newest""\, ""sortValue"": ""startDate""} ]\, ""order"": ""desc""\, ""sortId"": ""newest""}\, {""label"": ""Featured""\, ""property"": [{""sortKey"": ""featured""\, ""sortValue"": ""defaultRank""} ]\, ""order"": ""asc""\, ""sortId"": ""featured""} ] }",,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,unlocked-smartphones/,1,"null\,unknown#0",2019-06-03T17:41:15.580Z,,Dev-sort_options-unlocked-smartphones/,,5611648e-9a44-44cf-9012-a3adea8cd498,2019-12-13T21:05:31.130Z,json,16,rules-global,,,unknown,a9dec9ca-2c08-4e98-81f0-755f2e39afd3,,
0,banner,"{""page_config"": {""show_oos"": ""true""\, ""page_title"": ""Eligible Devices""\, ""default_sort"": ""bestseller""\, ""default_payment_option"": ""monthly""} }",shop/tablets-and-jetpacks/ Page config,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,shop/tablets-and-jetpacks/,1,"null\,unknown#0",2019-06-10T16:49:31.370Z,,Dev-page_config,,d50ddec0-9850-4daf-8843-c5a43a459fb9,2019-06-24T15:21:23.150Z,json,16,rules-global,,,unknown,76846217-7769-4e4c-aaa5-7025a8c94fc3,,
0,banner,"{""payment_options"": [{""id"": "".edge-monthly-price""\, ""payment_option_id"": ""monthly""\, ""name"": ""Monthly Payment""}\, {""id"": "".two-year-price""\, ""payment_option_id"": ""twoyear""\, ""name"": ""2-Year Contract""}\, {""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price""} ] }",shop/tablets-and-jetpacks/ payment_option,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,shop/tablets-and-jetpacks/,1,"null\,unknown#0",2019-06-10T16:50:26.130Z,,Dev-payment_options,,a21eeb2b-ecb0-4272-bfe1-e1cc6e0965ae,2019-06-10T16:54:31.160Z,json,16,rules-global,,,unknown,9f8c5194-f65d-4877-83e4-5c9eb6db415f,,
