id,searchQuery,searchClicks,contentType
270,blocking,1303,s
266,backup,1300,s
289,safety mode,1300,s
434,caller id,1283,s
383,receipts,1270,s
207,cancel a line,1269,s
240,wifi hotspot,1268,s
286,oneplus,1261,s
337,port,1258,s
253,billing & payments,1256,s
255,verizon rewards,1250,s
247,text history,1240,s
259,personal hot spot,1232,s
1735,authorized user,1228,s
1140,pixel 4,1221,s
213,cancel line,1220,s
225,useage,1219,s
297,upgrade phone,1217,s
316,international plan,1213,s
258,my offers,1209,s
282,support:verizon smart setup - activate your new phone,1201,s
273,tech support,1200,s
243,remove device,1199,s
313,media store,1195,s
376,senior plan,1183,s
301,booster,1152,s
291,support:pending orders,1144,s
424,my account,1144,s
1699,iphone 11 case,1140,s
306,blocks,1135,s
214,international - inside us,1121,s
223,locate my phone,1121,s
1123,senior discount,1094,s
574,products and apps,1074,s
233,family locator,1073,s
590,billing,1072,s
246,cancel insurance,1068,s
208,add insurance,1060,s
184,certified pre owned,1054,s
391,ultimate ears,1054,s
234,renew discount,1037,s
219,transfer content,1035,s
307,my cloud,1029,s
360,senior,1027,s
239,setup voicemail,1015,s
1717,ring back tones,1006,s
473,verizon messages,1001,s
305,track my order,995,s
228,backup contacts,990,s
375,messaging,984,s
415,promotions,984,s
508,unlock,979,s
453,international calling,966,s
317,support:how do i trade in my device?,960,s
365,block a number,956,s
412,canada,954,s
283,pin number,950,s
468,fold,946,s
250,manage network extender,936,s
364,kids plan,936,s
1216,phone,935,s
235,international coverage,933,s
333,statement,932,s
340,accessories,931,s
324,support:total mobile protection from verizon,929,s
443,contact verizon,907,s
274,remove a line,902,s
298,start unlimited plan,896,s
321,text log,893,s
403,cancel order,888,s
272,transfer contacts,885,s
350,online text,884,s
338,support:what is the 55+ unlimited plan?,883,s
387,first responder discount,882,s
459,claim,875,s
392,port number,873,s
497,55+,868,s
757,transfer,864,s
342,support:preparing for international travel,859,s
354,community:how do i cancel a line?,834,s
367,blocked numbers,828,s
400,return label,822,s
974,personal hotspot,821,s
1446,phone cases,821,s
515,message,820,s
524,family base,796,s
533,receipt,787,s
449,visual voicemail,785,s
345,send a text,781,s
371,community:how do i change my pin?,777,s
450,upgrades,776,s
373,community:how do i cancel service to a device?,771,s
358,hotspot setup,770,s
655,deals,770,s
692,prepaid phones,767,s
381,smart rewards,763,s
378,support:how do i cancel my device insurance / device protection?,755,s
382,support:can i view text messages online?,750,s
439,register,747,s
634,router,747,s
393,car charger,746,s
510,my plan,743,s
581,go unlimited,743,s
609,customer service phone number,740,s
1174,otter box,740,s
471,contract,736,s
380,find phone,735,s
462,family,730,s
394,past bills,729,s
308,remove line,726,s
785,prepaid plans,724,s
832,roaming,724,s
917,ringback,722,s
888,qr code,720,s
429,call blocking,714,s
349,current usage,712,s
385,change plan,709,s
396,support:how to view previous billing statements,708,s
440,device trade in,708,s
1085,asus,703,s
547,stolen phone,702,s
674,email,701,s
509,fraud,680,s
817,location,680,s
455,repair,678,s
603,make a payment,675,s
410,device payment,673,s
413,support:how to manage payment methods,671,s
577,gift card,667,s
377,early upgrade,665,s
414,usage controls,665,s
448,message+,665,s
661,map,665,s
419,wireless internet,663,s
492,call logs,663,s
431,send a message,657,s
466,corporate discount,657,s
500,cracked screen,657,s
488,returns,655,s
702,basic phone,651,s
612,just kids,645,s
626,switch to verizon,644,s
395,annual upgrade,641,s
444,appointment,637,s
818,account,632,s
534,find my iphone,631,s
370,support chat,626,s
435,support:how to find your lost or stolen phone or tablet,625,s
1362,imei,623,s
514,pay,621,s
503,activate device,617,s
1057,up rewards,612,s
539,free,611,s
423,icloud,604,s
744,unlimited data,603,s
447,disconnect,602,s
531,reciepts,601,s
529,suspend service,600,s
398,paperless,599,s
493,voice mail,597,s
496,pay as you go,597,s
699,verizon smart family,597,s
1060,factory reset,596,s
654,8,594,s
407,view my usage,591,s
418,smart setup,591,s
456,activate sim card,591,s
690,sign in,589,s
475,activate sim,588,s
525,return policy,585,s
409,payment history,584,s
519,first responders,582,s
627,transfer line,580,s
566,rebates,578,s
1206,family plans,578,s
460,support:my verizon website create and send a text message,575,s
1414,apple care,573,s
527,change address,570,s
571,add device,570,s
422,setup personal hotspot,568,s
1387,verizonup,567,s
586,55,557,s
693,text message,557,s
1115,texts,552,s
671,compare,549,s
697,screen repair,549,s
501,call block,548,s
798,name change,548,s
480,support:how do i track my shipment?,546,s
481,support:switch to verizon - guide to porting your number,545,s
606,travel plan,544,s
1181,samsung galaxy fold,541,s
565,auto pay discount,538,s
1265,devices,538,s
584,add account manager,537,s
491,support:edit share name id,536,s
451,puk,535,s
1198,google pixel 2,535,s
369,early termination fee,532,s
495,support:corporate employee discounts faqs,532,s
788,refurbished,529,s
775,trade in status,528,s
359,reward points,527,s
662,outages,526,s
430,friends and family,522,s
411,manage data,520,s
847,stores,519,s
1039,add ons,517,s
506,internet service,515,s
540,previous bills,514,s
1266,credit,512,s
522,cancel payment,509,s
719,bogo,506,s
1022,track phone,505,s
700,mexico,501,s
703,history,501,s
734,start unlimited,501,s
558,offers,499,s
457,usuage,494,s
567,blocked,494,s
445,customer agreement,488,s
463,cancel plan,485,s
1305,pixel 2,484,s
632,my verizon app,483,s
891,verizon up rewards,483,s
517,transfer service,478,s
408,change data plan,475,s
548,trip planner,475,s
631,payments,472,s
521,support:bring your own device (byod) - switch to verizon,471,s
1043,reward,471,s
859,phone records,470,s
523,support:how do i add an account manager?,469,s
906,activation fee,466,s
483,order history,463,s
568,tradein,461,s
579,close account,455,s
1956,iphone c,455,s
592,company discount,453,s
1784,wireless,453,s
467,remove insurance,451,s
595,account managers,451,s
1025,laptops,451,s
610,employer discount,449,s
658,forgot password,449,s
687,veteran discount,446,s
1108,droid,446,s
538,support:what is mobile hotspot?,444,s
1072,galaxy note 9,443,s
718,account owner,440,s
664,bills,439,s
541,support:what happens if i forget my account pin?,438,s
647,prepay,437,s
1355,no service,437,s
869,cancel smart family,436,s
594,change account pin,435,s
464,paperless billing,434,s
1392,fees,433,s
799,set up auto pay,432,s
933,technical support,430,s
1447,tv,430,s
1687,earpods,430,s
549,"support:how to block numbers, calls, ads, text messages & emails",428,s
597,bill history,428,s
962,home,423,s
553,community:where do i find my account pin?,421,s
720,online chat,420,s
621,verizon protect,419,s
555,community:how do i block calls?,418,s
556,support:military and veterans discounts faqs,417,s
557,community:how do i track my cell phone?,417,s
685,back up,416,s
512,smartsetup,415,s
576,deactivate,415,s
562,support:how to set up auto pay,413,s
653,call forward,413,s
810,notifications,412,s
751,spam,408,s
645,employee discounts,407,s
569,"support:employee, first responder & military discounts – how to register",406,s
601,basic,406,s
686,shipping,406,s
535,remove a device,403,s
1044,mobile hot spot,402,s
1007,international calls,401,s
563,veteran,398,s
1124,change name,398,s
